18 Electron Rule	<font size=5>\n18 Electron Rule\n</font><br>\n18 电子则\n
Substitution Compound	<font size=5>\nSubstitution Compound\n</font><br>\n取代化合物\n
Substitution Product	<font size=5>\nSubstitution Product\n</font><br>\n取代产物\n
Substitution Reaction	<font size=5>\nSubstitution Reaction\n</font><br>\n取代反应\n
Substrate	<font size=5>\nSubstrate\n</font><br>\n基质\n
Subtractive Color Process	<font size=5>\nSubtractive Color Process\n</font><br>\n减色法\n
Successive Reaction	<font size=5>\nSuccessive Reaction\n</font><br>\n逐次反应\n
Succharose	<font size=5>\nSuccharose\n</font><br>\n蔗糖\n
Succinaldehyde	<font size=5>\nSuccinaldehyde\n</font><br>\n琥珀醛\n
Succinate	<font size=5>\nSuccinate\n</font><br>\n琥珀酸盐\n
Succinic Acid	<font size=5>\nSuccinic Acid\n</font><br>\n琥珀酸\n
Succinic Anhydride	<font size=5>\nSuccinic Anhydride\n</font><br>\n琥珀酐\n
Succinimide	<font size=5>\nSuccinimide\n</font><br>\n琥珀酸亚胺\n
Succinyl	<font size=5>\nSuccinyl\n</font><br>\n琥珀酰\n
Sucker	<font size=5>\nSucker\n</font><br>\n吸管\n
Sucking	<font size=5>\nSucking\n</font><br>\n抽吸\n
Sucrose	<font size=5>\nSucrose\n</font><br>\n蔗糖\n
Suction	<font size=5>\nSuction\n</font><br>\n抽吸\n
Suction Bottle	<font size=5>\nSuction Bottle\n</font><br>\n吸滤瓶\n
Suction Drier	<font size=5>\nSuction Drier\n</font><br>\n吸引式干燥器\n
Suction Filter	<font size=5>\nSuction Filter\n</font><br>\n吸滤器\n
Suction Flask	<font size=5>\nSuction Flask\n</font><br>\n吸滤瓶\n
Suction Funnel	<font size=5>\nSuction Funnel\n</font><br>\n吸滤器\n
Suction Gas	<font size=5>\nSuction Gas\n</font><br>\n吸气\n
Suction Pump	<font size=5>\nSuction Pump\n</font><br>\n抽吸泵\n
Suffocation	<font size=5>\nSuffocation\n</font><br>\n窒息\n
Sugar	<font size=5>\nSugar\n</font><br>\n糖\n
Sugar Carbon	<font size=5>\nSugar Carbon\n</font><br>\n糖炭\n
Sugar Charcoal	<font size=5>\nSugar Charcoal\n</font><br>\n糖炭\n
Sugar Of Lead	<font size=5>\nSugar Of Lead\n</font><br>\n铅糖\n
Sugar Syrup	<font size=5>\nSugar Syrup\n</font><br>\n糖浆\n
Suint	<font size=5>\nSuint\n</font><br>\n羊色粗脂\n
Sulfacetamide	<font size=5>\nSulfacetamide\n</font><br>\n乙酰磺胺\n
Sulfadiazine	<font size=5>\nSulfadiazine\n</font><br>\n磺胺嘧啶\n
Sulfa Drug	<font size=5>\nSulfa Drug\n</font><br>\n磺胺剂\n
Sulfaguanidine	<font size=5>\nSulfaguanidine\n</font><br>\n磺胺胍\n
Sulfamic Acid	<font size=5>\nSulfamic Acid\n</font><br>\n氨基磺酸\n
Sulfamide	<font size=5>\nSulfamide\n</font><br>\n硫酰胺\n
Sulfanilamide	<font size=5>\nSulfanilamide\n</font><br>\n对氨基苯磺酰胺\n
Sulfanilic Acid	<font size=5>\nSulfanilic Acid\n</font><br>\n磺胺酸\n
Sulfatase	<font size=5>\nSulfatase\n</font><br>\n硫酸酯酶\n
Sulfate	<font size=5>\nSulfate\n</font><br>\n硫酸盐\n
Sulfate Oil	<font size=5>\nSulfate Oil\n</font><br>\n磺化油\n
Sulfate Process	<font size=5>\nSulfate Process\n</font><br>\n硫酸盐法\n
Sulfathiazole	<font size=5>\nSulfathiazole\n</font><br>\n磺胺噻唑\n
Sulfation	<font size=5>\nSulfation\n</font><br>\n硫酸化\n
Sulfatizing Roasting	<font size=5>\nSulfatizing Roasting\n</font><br>\n硫酸盐焙烧\n
Sulfide	<font size=5>\nSulfide\n</font><br>\n硫化物\n
Sulfinic Acid	<font size=5>\nSulfinic Acid\n</font><br>\n亚磺酸\n
Sulfitation	<font size=5>\nSulfitation\n</font><br>\n亚硫酸盐化\n
Sulfite	<font size=5>\nSulfite\n</font><br>\n亚硫酸盐\n
Sulfite Process	<font size=5>\nSulfite Process\n</font><br>\n亚硫酸盐法\n
Sulfite Pulp	<font size=5>\nSulfite Pulp\n</font><br>\n亚硫酸盐纸桨\n
Sulfite Waste Liquor	<font size=5>\nSulfite Waste Liquor\n</font><br>\n亚硫酸盐废液\n
Sulfobenzoic Acid	<font size=5>\nSulfobenzoic Acid\n</font><br>\n磺基苯酸\n
Sulfo Group	<font size=5>\nSulfo Group\n</font><br>\n磺基\n
Sulfonal	<font size=5>\nSulfonal\n</font><br>\n损那\n
Sulfonamide	<font size=5>\nSulfonamide\n</font><br>\n磺酰胺\n
Sulfonamide Drug	<font size=5>\nSulfonamide Drug\n</font><br>\n磺胺剂\n
Sulfonate	<font size=5>\nSulfonate\n</font><br>\n磺酸盐\n
Sulfonated Oil	<font size=5>\nSulfonated Oil\n</font><br>\n磺化油\n
Sulfonation	<font size=5>\nSulfonation\n</font><br>\n磺化\n
Sulfonator	<font size=5>\nSulfonator\n</font><br>\n磺化器\n
Sulfone	<font size=5>\nSulfone\n</font><br>\n砜\n
Sulfonic Acid	<font size=5>\nSulfonic Acid\n</font><br>\n磺酸\n
Sulfonium Base	<font size=5>\nSulfonium Base\n</font><br>\n锍碱\n
Sulfonium Salt	<font size=5>\nSulfonium Salt\n</font><br>\n锍盐\n
Sulfophthalic Acid	<font size=5>\nSulfophthalic Acid\n</font><br>\n磺基酞酸\n
Sulfosalicylic Acid	<font size=5>\nSulfosalicylic Acid\n</font><br>\n磺基水杨酸\n
Sulfoxide	<font size=5>\nSulfoxide\n</font><br>\n亚砜\n
Sulfoxylate	<font size=5>\nSulfoxylate\n</font><br>\n次硫酸盐\n
Sulfoxylic Acid	<font size=5>\nSulfoxylic Acid\n</font><br>\n次硫酸\n
Sulfur	<font size=5>\nSulfur\n</font><br>\n硫磺\n
Sulfuration	<font size=5>\nSulfuration\n</font><br>\n硫化\n
Sulfur Black	<font size=5>\nSulfur Black\n</font><br>\n硫化黑\n
Sulfur Blue	<font size=5>\nSulfur Blue\n</font><br>\n硫化蓝\n
Sulfur Burner	<font size=5>\nSulfur Burner\n</font><br>\n烧硫炉\n
Sulfur Chloride	<font size=5>\nSulfur Chloride\n</font><br>\n氯化硫\n
Sulfur Dioxide	<font size=5>\nSulfur Dioxide\n</font><br>\n二氧化硫\n
Sulfur Dye	<font size=5>\nSulfur Dye\n</font><br>\n硫化染料\n
Sulfuretted Hydrogen	<font size=5>\nSulfuretted Hydrogen\n</font><br>\n硫化氢\n
Sulfur Fluoride	<font size=5>\nSulfur Fluoride\n</font><br>\n氟化硫\n
Sulfuric Acid	<font size=5>\nSulfuric Acid\n</font><br>\n硫酸\n
Sulfuric Acid Anhydride	<font size=5>\nSulfuric Acid Anhydride\n</font><br>\n硫酐\n
Sulfur Liver	<font size=5>\nSulfur Liver\n</font><br>\n硫磺肝\n
Sulfurous Acid	<font size=5>\nSulfurous Acid\n</font><br>\n亚硫酸\n
Sulfurous Acid Gas	<font size=5>\nSulfurous Acid Gas\n</font><br>\n二氧化硫\n
Sulfurous Anhydride	<font size=5>\nSulfurous Anhydride\n</font><br>\n亚硫酐\n
Sulfurous Ester	<font size=5>\nSulfurous Ester\n</font><br>\n亚硫酯\n
Sulfur Oxide	<font size=5>\nSulfur Oxide\n</font><br>\n氧化硫\n
Sulfur Soap	<font size=5>\nSulfur Soap\n</font><br>\n硫化皂\n
Sulfur Trioxide	<font size=5>\nSulfur Trioxide\n</font><br>\n三氧化硫\n
Sulfuryl Chloride	<font size=5>\nSulfuryl Chloride\n</font><br>\n硫酰氯\n
Sulphur	<font size=5>\nSulphur\n</font><br>\n硫磺\n
Sulphuric Acid	<font size=5>\nSulphuric Acid\n</font><br>\n硫酸\n
Sultone	<font size=5>\nSultone\n</font><br>\n磺内酯\n
Sum Over States	<font size=5>\nSum Over States\n</font><br>\n状态和\n
Sun Bleaching	<font size=5>\nSun Bleaching\n</font><br>\n曝晒漂白\n
Sunflower Oil	<font size=5>\nSunflower Oil\n</font><br>\n向日葵油\n
Superacid	<font size=5>\nSuperacid\n</font><br>\n过酸\n
Superconducting Material	<font size=5>\nSuperconducting Material\n</font><br>\n超导材料\n
Superconductivity	<font size=5>\nSuperconductivity\n</font><br>\n超导率\n
Supercooled Liquid	<font size=5>\nSupercooled Liquid\n</font><br>\n过冷液体\n
Supercooling	<font size=5>\nSupercooling\n</font><br>\n过冷\n
Superexchange Interaction	<font size=5>\nSuperexchange Interaction\n</font><br>\n超交换相互酌\n
Superexcited State	<font size=5>\nSuperexcited State\n</font><br>\n超激发态\n
Superficial Velocity	<font size=5>\nSuperficial Velocity\n</font><br>\n空塔速度\n
Superfluidity	<font size=5>\nSuperfluidity\n</font><br>\n超猎\n
Superfusion	<font size=5>\nSuperfusion\n</font><br>\n过熔\n
Superheated Steam	<font size=5>\nSuperheated Steam\n</font><br>\n过热蒸汽\n
Superheater	<font size=5>\nSuperheater\n</font><br>\n过热器\n
Superinsulation	<font size=5>\nSuperinsulation\n</font><br>\n超绝热\n
Superionic Conductor	<font size=5>\nSuperionic Conductor\n</font><br>\n超离子导体\n
Superlattice	<font size=5>\nSuperlattice\n</font><br>\n超晶格结构\n
Supermicro Analysis	<font size=5>\nSupermicro Analysis\n</font><br>\n超微分析\n
Supernatant Liquid	<font size=5>\nSupernatant Liquid\n</font><br>\n上层液体\n
Superoxide	<font size=5>\nSuperoxide\n</font><br>\n过氧化物\n
Superphosphate Of Lime	<font size=5>\nSuperphosphate Of Lime\n</font><br>\n过磷酸钙\n
Supersaturated Solution	<font size=5>\nSupersaturated Solution\n</font><br>\n过饱和溶液\n
Supersaturated Steam	<font size=5>\nSupersaturated Steam\n</font><br>\n过饱和蒸气\n
Supersaturation	<font size=5>\nSupersaturation\n</font><br>\n过饱和\n
Supersonic Fuel	<font size=5>\nSupersonic Fuel\n</font><br>\n超声燃料\n
Supersonic Wave	<font size=5>\nSupersonic Wave\n</font><br>\n超声波\n
Superstructure	<font size=5>\nSuperstructure\n</font><br>\n超晶格结构\n
Supersymmetry	<font size=5>\nSupersymmetry\n</font><br>\n超对称性\n
Supplementary Unit	<font size=5>\nSupplementary Unit\n</font><br>\n辅助单位\n
Supporting Electrolyte	<font size=5>\nSupporting Electrolyte\n</font><br>\n支持电解质\n
Surface	<font size=5>\nSurface\n</font><br>\n表面\n
Surface Active Agent	<font size=5>\nSurface Active Agent\n</font><br>\n表面活性剂\n
Surface Activity	<font size=5>\nSurface Activity\n</font><br>\n表面活性\n
Surface Chemistry	<font size=5>\nSurface Chemistry\n</font><br>\n表面化学\n
Surface Combustion	<font size=5>\nSurface Combustion\n</font><br>\n表面燃烧\n
Surface Condenser	<font size=5>\nSurface Condenser\n</font><br>\n表面冷凝器\n
Surface Denaturation	<font size=5>\nSurface Denaturation\n</font><br>\n表面变性\n
Surface Density	<font size=5>\nSurface Density\n</font><br>\n表面密度\n
Surface Diffusion	<font size=5>\nSurface Diffusion\n</font><br>\n表面扩散\n
Surface Drying	<font size=5>\nSurface Drying\n</font><br>\n表面干燥\n
Surface Elasticity	<font size=5>\nSurface Elasticity\n</font><br>\n表面弹性\n
Surface Energy	<font size=5>\nSurface Energy\n</font><br>\n表面能\n
Surface Integral	<font size=5>\nSurface Integral\n</font><br>\n面积分\n
Surface Layer	<font size=5>\nSurface Layer\n</font><br>\n表面层\n
Surface Level	<font size=5>\nSurface Level\n</font><br>\n表面能级\n
Surface Phenomenon	<font size=5>\nSurface Phenomenon\n</font><br>\n界面现象\n
Surface Potential	<font size=5>\nSurface Potential\n</font><br>\n表面电势\n
Surface Preparation	<font size=5>\nSurface Preparation\n</font><br>\n表面处理\n
Surface Pressure	<font size=5>\nSurface Pressure\n</font><br>\n表面压力\n
Surface Reaction	<font size=5>\nSurface Reaction\n</font><br>\n界面反应\n
Surface Renewal Theory	<font size=5>\nSurface Renewal Theory\n</font><br>\n表面更新理论\n
Surface Resistance	<font size=5>\nSurface Resistance\n</font><br>\n表面阻力\n
Surface Tension	<font size=5>\nSurface Tension\n</font><br>\n表面张力\n
Surface Treatment	<font size=5>\nSurface Treatment\n</font><br>\n表面处理\n
Surface Viscosity	<font size=5>\nSurface Viscosity\n</font><br>\n表面粘度\n
Surfactant	<font size=5>\nSurfactant\n</font><br>\n表面活性剂\n
Susceptibility	<font size=5>\nSusceptibility\n</font><br>\n磁化率\n
Suspended Matter	<font size=5>\nSuspended Matter\n</font><br>\n浮游物质\n
Suspended Solid	<font size=5>\nSuspended Solid\n</font><br>\n浮游物质\n
Suspending Agent	<font size=5>\nSuspending Agent\n</font><br>\n悬浮剂\n
Suspension	<font size=5>\nSuspension\n</font><br>\n悬浮液\n
Suspension Colloid	<font size=5>\nSuspension Colloid\n</font><br>\n悬胶质\n
Suspension Insulator	<font size=5>\nSuspension Insulator\n</font><br>\n悬垂碍子\n
Suspension Polymerization	<font size=5>\nSuspension Polymerization\n</font><br>\n悬浮聚合\n
Suspensoid	<font size=5>\nSuspensoid\n</font><br>\n悬胶质\n
Sweet Basil	<font size=5>\nSweet Basil\n</font><br>\n罗勒\n
Sweetened Condensed Milk	<font size=5>\nSweetened Condensed Milk\n</font><br>\n甜炼乳\n
Sweetening	<font size=5>\nSweetening\n</font><br>\n脱硫\n
Sweet Gasoline	<font size=5>\nSweet Gasoline\n</font><br>\n脱硫汽油\n
Sweet Oil	<font size=5>\nSweet Oil\n</font><br>\n橄榄油\n
Swelling	<font size=5>\nSwelling\n</font><br>\n膨润\n
Swelling Agent	<font size=5>\nSwelling Agent\n</font><br>\n膨润剂\n
Swelling Heat	<font size=5>\nSwelling Heat\n</font><br>\n膨润热\n
Swelling Pressure	<font size=5>\nSwelling Pressure\n</font><br>\n膨润压力\n
Switch Oil	<font size=5>\nSwitch Oil\n</font><br>\n开关油\n
Syenite	<font size=5>\nSyenite\n</font><br>\n正长石\n
Sylvite	<font size=5>\nSylvite\n</font><br>\n钾石盐\n
Symbiosis	<font size=5>\nSymbiosis\n</font><br>\n共生\n
Symbol Of Element	<font size=5>\nSymbol Of Element\n</font><br>\n元素符号\n
Symmetrical Molecule	<font size=5>\nSymmetrical Molecule\n</font><br>\n对称分子\n
Symmetric Compound	<font size=5>\nSymmetric Compound\n</font><br>\n对称化合物\n
Symmetric Matrix	<font size=5>\nSymmetric Matrix\n</font><br>\n对称矩阵\n
Symmetry	<font size=5>\nSymmetry\n</font><br>\n对称\n
Symmetry Axis	<font size=5>\nSymmetry Axis\n</font><br>\n对称轴\n
Symmetry Classes	<font size=5>\nSymmetry Classes\n</font><br>\n对称类\n
Sympathetic Ink	<font size=5>\nSympathetic Ink\n</font><br>\n隐显墨水\n
Sympathetic Reaction	<font size=5>\nSympathetic Reaction\n</font><br>\n交感反应\n
Synchronism	<font size=5>\nSynchronism\n</font><br>\n同时性\n
Synchroscope	<font size=5>\nSynchroscope\n</font><br>\n同步示波器\n
Synchrotron	<font size=5>\nSynchrotron\n</font><br>\n同步加速器\n
Syndet	<font size=5>\nSyndet\n</font><br>\n合成洗涤剂\n
Syndiotactic Polymer	<font size=5>\nSyndiotactic Polymer\n</font><br>\n间同立构聚合物\n
Syneresis	<font size=5>\nSyneresis\n</font><br>\n脱水收缩\n
Synergism	<font size=5>\nSynergism\n</font><br>\n协同酌\n
Synergist	<font size=5>\nSynergist\n</font><br>\n协琢\n
Synergistic Effect	<font size=5>\nSynergistic Effect\n</font><br>\n协同效应\n
Synthesis	<font size=5>\nSynthesis\n</font><br>\n合成\n
Synthesis Gas	<font size=5>\nSynthesis Gas\n</font><br>\n合成气\n
Synthetase	<font size=5>\nSynthetase\n</font><br>\n合成酶\n
Synthetic Ammonia	<font size=5>\nSynthetic Ammonia\n</font><br>\n合成氨\n
Synthetic Chemistry	<font size=5>\nSynthetic Chemistry\n</font><br>\n合成化学\n
Synthetic Detergent	<font size=5>\nSynthetic Detergent\n</font><br>\n合成洗涤剂\n
Synthetic Dyes	<font size=5>\nSynthetic Dyes\n</font><br>\n合成染料\n
Synthetic Fiber	<font size=5>\nSynthetic Fiber\n</font><br>\n合成纤维\n
Synthetic Fuel	<font size=5>\nSynthetic Fuel\n</font><br>\n合成燃料\n
Synthetic Gypsum	<font size=5>\nSynthetic Gypsum\n</font><br>\n合成石膏\n
Synthetic Latex	<font size=5>\nSynthetic Latex\n</font><br>\n合成胶乳\n
Synthetic Mica	<font size=5>\nSynthetic Mica\n</font><br>\n合成云母\n
Synthetic Perfume	<font size=5>\nSynthetic Perfume\n</font><br>\n合成香料\n
Synthetic Resin	<font size=5>\nSynthetic Resin\n</font><br>\n合成尸\n
Synthetic Rubber	<font size=5>\nSynthetic Rubber\n</font><br>\n合成橡胶\n
Synthetics	<font size=5>\nSynthetics\n</font><br>\n合成品\n
Synthetic Tannin	<font size=5>\nSynthetic Tannin\n</font><br>\n合成丹宁\n
Synthetic Zeolite	<font size=5>\nSynthetic Zeolite\n</font><br>\n合成沸石\n
Synthol	<font size=5>\nSynthol\n</font><br>\n辛托合成过程\n
Systematic Analysis	<font size=5>\nSystematic Analysis\n</font><br>\n系统分析\n
Systematic Error	<font size=5>\nSystematic Error\n</font><br>\n系统误差\n
System Engineering	<font size=5>\nSystem Engineering\n</font><br>\n系统工程\n
Systemic Insecticide	<font size=5>\nSystemic Insecticide\n</font><br>\n内吸杀虫剂\n
Table Feeder	<font size=5>\nTable Feeder\n</font><br>\n平板给料机\n
Table Salt	<font size=5>\nTable Salt\n</font><br>\n食盐\n
Tabular Crystal	<font size=5>\nTabular Crystal\n</font><br>\n平片状结晶\n
Tac	<font size=5>\nTac\n</font><br>\n碳化钽\n
Tachometer	<font size=5>\nTachometer\n</font><br>\n转数计\n
Tachysterin	<font size=5>\nTachysterin\n</font><br>\n环裂甾醇\n
Tackifier	<font size=5>\nTackifier\n</font><br>\n胶粘剂\n
Tackiness	<font size=5>\nTackiness\n</font><br>\n粘着性\n
Tackiness Agent	<font size=5>\nTackiness Agent\n</font><br>\n胶粘剂\n
Tacky	<font size=5>\nTacky\n</font><br>\n胶粘的\n
Tactoid	<font size=5>\nTactoid\n</font><br>\n类晶团聚体\n
Tactosol	<font size=5>\nTactosol\n</font><br>\n凝聚溶胶\n
Tafel Rearrangement	<font size=5>\nTafel Rearrangement\n</font><br>\n塔菲尔换位\n
Tag Closed Tester	<font size=5>\nTag Closed Tester\n</font><br>\n泰格密闭闪点试验器\n
Tagged Molecule	<font size=5>\nTagged Molecule\n</font><br>\n标记分子\n
Tailings	<font size=5>\nTailings\n</font><br>\n尾矿\n
Talc	<font size=5>\nTalc\n</font><br>\n滑石\n
Tall Oil	<font size=5>\nTall Oil\n</font><br>\n妥尔油\n
Tallow	<font size=5>\nTallow\n</font><br>\n脂\n
Talose	<font size=5>\nTalose\n</font><br>\n塔洛糖\n
Tank Development	<font size=5>\nTank Development\n</font><br>\n槽显影\n
Tank Furnace	<font size=5>\nTank Furnace\n</font><br>\n槽炉\n
Tannase	<font size=5>\nTannase\n</font><br>\n丹宁酶\n
Tannic Acid	<font size=5>\nTannic Acid\n</font><br>\n丹宁酸\n
Tannin	<font size=5>\nTannin\n</font><br>\n丹宁\n
Tannin Black Dyeing	<font size=5>\nTannin Black Dyeing\n</font><br>\n酸黑染料\n
Tannin Extract	<font size=5>\nTannin Extract\n</font><br>\n丹宁提取物\n
Tanning	<font size=5>\nTanning\n</font><br>\n革\n
Tanning Agent	<font size=5>\nTanning Agent\n</font><br>\n剂\n
Tannin Mordanting	<font size=5>\nTannin Mordanting\n</font><br>\n丹宁媒染\n
Tannoform	<font size=5>\nTannoform\n</font><br>\n亚甲丹宁\n
Tantalate	<font size=5>\nTantalate\n</font><br>\n钽酸盐\n
Tantalic Acid	<font size=5>\nTantalic Acid\n</font><br>\n钽酸\n
Tantalite	<font size=5>\nTantalite\n</font><br>\n钽铁矿\n
Tantalum	<font size=5>\nTantalum\n</font><br>\n钽\n
Tantalum Carbide	<font size=5>\nTantalum Carbide\n</font><br>\n碳化钽\n
Tantalum Chloride	<font size=5>\nTantalum Chloride\n</font><br>\n氯化钽\n
Tantalum Oxide	<font size=5>\nTantalum Oxide\n</font><br>\n氧化钽\n
Tap Aspirator	<font size=5>\nTap Aspirator\n</font><br>\n龙头廉泵\n
Tap Funnel	<font size=5>\nTap Funnel\n</font><br>\n分液漏斗\n
Tar	<font size=5>\nTar\n</font><br>\n焦油\n
Tar Acid	<font size=5>\nTar Acid\n</font><br>\n焦油酸\n
Tar Base	<font size=5>\nTar Base\n</font><br>\n焦油碱\n
Tar Distillation	<font size=5>\nTar Distillation\n</font><br>\n焦油蒸馏\n
Tare	<font size=5>\nTare\n</font><br>\n皮重\n
Target	<font size=5>\nTarget\n</font><br>\n标志\n
Tar Heavy Oil	<font size=5>\nTar Heavy Oil\n</font><br>\n沥青重油\n
